filename,dc_title,affiliation_country,srctype,eid,prism_coverDate,prism_aggregationType,subtypeDescription,subject_area_name,subject_area_code,subject_area_abbrev,publicationName,source_id,citedby_count,subtype,prism_doi,dc_identifier,dc_publisher
201800000,Public health and international epidemiology for radiology,Thailand,b,2-s2.0-85077976956,2018-12-31T00:00:00.000Z,Book,Book Chapter,Medicine (all),2700,MEDI,"Radiology in Global Health: Strategies, Implementation, and Applications",21100942340,1,ch,10.1007/978-3-319-98485-8_15,SCOPUS_ID:85077976956,Springer International Publishing
201800000,Public health and international epidemiology for radiology,United States,b,2-s2.0-85077976956,2018-12-31T00:00:00.000Z,Book,Book Chapter,Medicine (all),2700,MEDI,"Radiology in Global Health: Strategies, Implementation, and Applications",21100942340,1,ch,10.1007/978-3-319-98485-8_15,SCOPUS_ID:85077976956,Springer International Publishing
201800001,Flexible Printed Active Antenna for Digital Television Reception,Thailand,p,2-s2.0-85060936020,2018-12-31T00:00:00.000Z,Conference Proceeding,Conference Paper,Electrical and Electronic Engineering,2208,ENGI,Progress in Electromagnetics Research Symposium,21000195302,1,cp,10.23919/PIERS.2018.8597669,SCOPUS_ID:85060936020,Institute of Electrical and Electronics Engineers Inc.
201800002,Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser,Thailand,j,2-s2.0-85052201238,2018-12-31T00:00:00.000Z,Journal,Article,Chemistry (all),1600,CHEM,Chemical Engineering Science,16413,21,ar,10.1016/j.ces.2018.08.042,SCOPUS_ID:85052201238,Elsevier Ltd
201800003,Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Japan,j,2-s2.0-85051498032,2018-12-31T00:00:00.000Z,Journal,Article,Chemistry (all),1600,CHEM,Applied Surface Science,28983,37,ar,10.1016/j.apsusc.2018.08.059,SCOPUS_ID:85051498032,Elsevier B.V.
201800003,Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Thailand,j,2-s2.0-85051498032,2018-12-31T00:00:00.000Z,Journal,Article,Chemistry (all),1600,CHEM,Applied Surface Science,28983,37,ar,10.1016/j.apsusc.2018.08.059,SCOPUS_ID:85051498032,Elsevier B.V.
201800004,Electrochemical impedance-based DNA sensor using pyrrolidinyl peptide nucleic acids for tuberculosis detection,Thailand,j,2-s2.0-85050678366,2018-12-31T00:00:00.000Z,Journal,Article,Analytical Chemistry,1602,CHEM,Analytica Chimica Acta,23911,68,ar,10.1016/j.aca.2018.07.045,SCOPUS_ID:85050678366,Elsevier B.V.
201800004,Electrochemical impedance-based DNA sensor using pyrrolidinyl peptide nucleic acids for tuberculosis detection,United States,j,2-s2.0-85050678366,2018-12-31T00:00:00.000Z,Journal,Article,Analytical Chemistry,1602,CHEM,Analytica Chimica Acta,23911,68,ar,10.1016/j.aca.2018.07.045,SCOPUS_ID:85050678366,Elsevier B.V.
201800005,Evaluation of outsourcing transportation contract using simulation and design of experiment Ocena kontraktów outsourcingowych w transporcie z wykorzystaniem symulacji i projektu eksperymentu,Thailand,j,2-s2.0-85059846549,2018-12-30T00:00:00.000Z,Journal,Article,Business and International Management,1403,BUSI,Polish Journal of Management Studies,21100326278,15,ar,10.17512/pjms.2018.18.2.24,SCOPUS_ID:85059846549,Czestochowa University of Technologyajanas@adm.pcz.czest.pl
201800006,The phenotypic and mutational spectrum of Thai female patients with ornithine transcarbamylase deficiency,Thailand,j,2-s2.0-85053455291,2018-12-30T00:00:00.000Z,Journal,Article,Genetics,1311,BIOC,Gene,15636,13,ar,10.1016/j.gene.2018.09.026,SCOPUS_ID:85053455291,Elsevier B.V.
201800007,External beam radiotherapy in the treatment of painful bone metastases,Thailand,b,2-s2.0-85078621193,2018-12-28T00:00:00.000Z,Book,Book Chapter,Medicine (all),2700,MEDI,Essentials of Interventional Cancer Pain Management,21100958129,0,ch,10.1007/978-3-319-99684-4_38,SCOPUS_ID:85078621193,Springer International Publishing
201800007,External beam radiotherapy in the treatment of painful bone metastases,United States,b,2-s2.0-85078621193,2018-12-28T00:00:00.000Z,Book,Book Chapter,Medicine (all),2700,MEDI,Essentials of Interventional Cancer Pain Management,21100958129,0,ch,10.1007/978-3-319-99684-4_38,SCOPUS_ID:85078621193,Springer International Publishing
201800008,Predicting judicial decisions of criminal cases from Thai supreme court using bi-directional gru with attention mechanism,Thailand,p,2-s2.0-85061529820,2018-12-27T00:00:00.000Z,Conference Proceeding,Conference Paper,Decision Sciences (miscellaneous),1801,DECI,"Proceedings of the 5th Asian Conference on Defence Technology, ACDT 2018",21100898525,24,cp,10.1109/ACDT.2018.8592948,SCOPUS_ID:85061529820,Institute of Electrical and Electronics Engineers Inc.
201800009,PH Variation as a Simple and Selective Pathway for Obtaining Nanoparticle or Nanocapsule Polysaccharides,Thailand,j,2-s2.0-85058878790,2018-12-26T00:00:00.000Z,Journal,Article,Materials Science (all),2500,MATE,Langmuir,26987,3,ar,10.1021/acs.langmuir.8b03443,SCOPUS_ID:85058878790,American Chemical Societyservice@acs.org
201800010,Effect of Zr addition on the microstructure and tribological property of the anodization of Ti-6Al-4V alloy,China,j,2-s2.0-85053749794,2018-12-25T00:00:00.000Z,Journal,Article,Chemistry (all),1600,CHEM,Surface and Coatings Technology,24537,17,ar,10.1016/j.surfcoat.2018.09.051,SCOPUS_ID:85053749794,Elsevier B.V.
201800010,Effect of Zr addition on the microstructure and tribological property of the anodization of Ti-6Al-4V alloy,Thailand,j,2-s2.0-85053749794,2018-12-25T00:00:00.000Z,Journal,Article,Chemistry (all),1600,CHEM,Surface and Coatings Technology,24537,17,ar,10.1016/j.surfcoat.2018.09.051,SCOPUS_ID:85053749794,Elsevier B.V.
201800011,Applying Text Mining for Classifying Disease from Symptoms,Thailand,p,2-s2.0-85060970184,2018-12-24T00:00:00.000Z,Conference Proceeding,Conference Paper,Artificial Intelligence,1702,COMP,ISCIT 2018 - 18th International Symposium on Communication and Information Technology,21100897077,4,cp,10.1109/ISCIT.2018.8587993,SCOPUS_ID:85060970184,Institute of Electrical and Electronics Engineers Inc.
201800012,Classification of advertisement text on Facebook using synthetic minority over-sampling technique,Thailand,p,2-s2.0-85061895439,2018-12-21T00:00:00.000Z,Conference Proceeding,Conference Paper,Software,1712,COMP,ACM International Conference Proceeding Series,11600154611,0,cp,10.1145/3302425.3302471,SCOPUS_ID:85061895439,Association for Computing Machineryacmhelp@acm.org
201800013,Detecting Radio AGN Signatures in Red Geysers,Brazil,j,2-s2.0-85059849496,2018-12-20T00:00:00.000Z,Journal,Article,Astronomy and Astrophysics,3103,PHYS,Astrophysical Journal,26765,16,ar,10.3847/1538-4357/aaee72,SCOPUS_ID:85059849496,Institute of Physics Publishinghelen.craven@iop.org
201800013,Detecting Radio AGN Signatures in Red Geysers,China,j,2-s2.0-85059849496,2018-12-20T00:00:00.000Z,Journal,Article,Astronomy and Astrophysics,3103,PHYS,Astrophysical Journal,26765,16,ar,10.3847/1538-4357/aaee72,SCOPUS_ID:85059849496,Institute of Physics Publishinghelen.craven@iop.org
201800013,Detecting Radio AGN Signatures in Red Geysers,Japan,j,2-s2.0-85059849496,2018-12-20T00:00:00.000Z,Journal,Article,Astronomy and Astrophysics,3103,PHYS,Astrophysical Journal,26765,16,ar,10.3847/1538-4357/aaee72,SCOPUS_ID:85059849496,Institute of Physics Publishinghelen.craven@iop.org
201800013,Detecting Radio AGN Signatures in Red Geysers,Russian Federation,j,2-s2.0-85059849496,2018-12-20T00:00:00.000Z,Journal,Article,Astronomy and Astrophysics,3103,PHYS,Astrophysical Journal,26765,16,ar,10.3847/1538-4357/aaee72,SCOPUS_ID:85059849496,Institute of Physics Publishinghelen.craven@iop.org
201800013,Detecting Radio AGN Signatures in Red Geysers,Thailand,j,2-s2.0-85059849496,2018-12-20T00:00:00.000Z,Journal,Article,Astronomy and Astrophysics,3103,PHYS,Astrophysical Journal,26765,16,ar,10.3847/1538-4357/aaee72,SCOPUS_ID:85059849496,Institute of Physics Publishinghelen.craven@iop.org
201800013,Detecting Radio AGN Signatures in Red Geysers,United Arab Emirates,j,2-s2.0-85059849496,2018-12-20T00:00:00.000Z,Journal,Article,Astronomy and Astrophysics,3103,PHYS,Astrophysical Journal,26765,16,ar,10.3847/1538-4357/aaee72,SCOPUS_ID:85059849496,Institute of Physics Publishinghelen.craven@iop.org
201800013,Detecting Radio AGN Signatures in Red Geysers,United Kingdom,j,2-s2.0-85059849496,2018-12-20T00:00:00.000Z,Journal,Article,Astronomy and Astrophysics,3103,PHYS,Astrophysical Journal,26765,16,ar,10.3847/1538-4357/aaee72,SCOPUS_ID:85059849496,Institute of Physics Publishinghelen.craven@iop.org
201800013,Detecting Radio AGN Signatures in Red Geysers,United States,j,2-s2.0-85059849496,2018-12-20T00:00:00.000Z,Journal,Article,Astronomy and Astrophysics,3103,PHYS,Astrophysical Journal,26765,16,ar,10.3847/1538-4357/aaee72,SCOPUS_ID:85059849496,Institute of Physics Publishinghelen.craven@iop.org
201800014,Organic agriculture education in Thai Universities: National trends and student perceptions,Thailand,p,2-s2.0-85059562771,2018-12-20T00:00:00.000Z,Conference Proceeding,Conference Paper,Environmental Science (all),2300,ENVI,IOP Conference Series: Earth and Environmental Science,19900195068,1,cp,10.1088/1755-1315/215/1/012024,SCOPUS_ID:85059562771,Institute of Physics Publishinghelen.craven@iop.org
201800015,"A new species of Ceropegia (Asclepiadoideae, Apocynaceae) from eastern Thailand",Thailand,j,2-s2.0-85059516216,2018-12-20T00:00:00.000Z,Journal,Article,"Ecology, Evolution, Behavior and Systematics",1105,AGRI,Phytotaxa,21100209326,6,ar,10.11646/phytotaxa.385.1.4,SCOPUS_ID:85059516216,Magnolia Pressmagnolia@mapress.com
201800016,Observation of Weakened V-V Dimers in the Monoclinic Metallic Phase of Strained VO2,New Zealand,j,2-s2.0-85059160526,2018-12-20T00:00:00.000Z,Journal,Article,Physics and Astronomy (all),3100,PHYS,Physical Review Letters,29150,13,ar,10.1103/PhysRevLett.121.256403,SCOPUS_ID:85059160526,American Physical Societyrevtex@aps.org
201800016,Observation of Weakened V-V Dimers in the Monoclinic Metallic Phase of Strained VO2,Sweden,j,2-s2.0-85059160526,2018-12-20T00:00:00.000Z,Journal,Article,Physics and Astronomy (all),3100,PHYS,Physical Review Letters,29150,13,ar,10.1103/PhysRevLett.121.256403,SCOPUS_ID:85059160526,American Physical Societyrevtex@aps.org
