filename,dc_title,affiliation_country,srctype,eid,prism_coverDate,prism_aggregationType,subtypeDescription,subject_area_name,subject_area_code,subject_area_abbrev,publicationName,source_id,citedby_count,subtype,prism_doi,dc_identifier,dc_publisher
202300000,Graphene oxide-alginate hydrogel-based indicator displacement assay integrated with diaper for non-invasive Alzheimer's disease screening,Thailand,j,2-s2.0-85170238281,2023-12-31T00:00:00.000Z,Journal,Article,Structural Biology,1315,BIOC,International Journal of Biological Macromolecules,17544,0,ar,10.1016/j.ijbiomac.2023.126316,SCOPUS_ID:85170238281,Elsevier B.V.
202300001,"Rare coordination behavior of triethanolamine ligand in [Cu(H3tea)2](3,4-dimethoxycinnamate)2·2H2O: Synthesis, characterization, single crystal X-ray structure determination, Hirshfeld calculation and molecular docking studies",India,j,2-s2.0-85169978316,2023-12-15T00:00:00.000Z,Journal,Article,Analytical Chemistry,1602,CHEM,Journal of Molecular Structure,24642,0,ar,10.1016/j.molstruc.2023.136416,SCOPUS_ID:85169978316,Elsevier B.V.
202300001,"Rare coordination behavior of triethanolamine ligand in [Cu(H3tea)2](3,4-dimethoxycinnamate)2·2H2O: Synthesis, characterization, single crystal X-ray structure determination, Hirshfeld calculation and molecular docking studies",Thailand,j,2-s2.0-85169978316,2023-12-15T00:00:00.000Z,Journal,Article,Analytical Chemistry,1602,CHEM,Journal of Molecular Structure,24642,0,ar,10.1016/j.molstruc.2023.136416,SCOPUS_ID:85169978316,Elsevier B.V.
202300002,Total ammonia nitrogen removal and microbial community dynamics in an outdoor HDPE-lined shrimp pond with no water discharge,Thailand,j,2-s2.0-85165929707,2023-12-15T00:00:00.000Z,Journal,Article,Aquatic Science,1104,AGRI,Aquaculture,29419,0,ar,10.1016/j.aquaculture.2023.739898,SCOPUS_ID:85165929707,Elsevier B.V.
202300003,"Effects of microaeration and sludge recirculation on VFA and nitrogen removal, membrane fouling reduction and microbial community of the anaerobic baffled biofilm-membrane bioreactor in treating building wastewater",Thailand,j,2-s2.0-85167831666,2023-12-10T00:00:00.000Z,Journal,Article,Environmental Engineering,2305,ENVI,Science of the Total Environment,25349,0,ar,10.1016/j.scitotenv.2023.166248,SCOPUS_ID:85167831666,Elsevier B.V.
202300004,"Bioaccumulation of heavy metals in commercially important marine species from Puducherry coast, Southeast India",India,j,2-s2.0-85165076456,2023-12-10T00:00:00.000Z,Journal,Article,"Ecology, Evolution, Behavior and Systematics",1105,AGRI,Regional Studies in Marine Science,21100390177,0,ar,10.1016/j.rsma.2023.103080,SCOPUS_ID:85165076456,Elsevier B.V.
202300004,"Bioaccumulation of heavy metals in commercially important marine species from Puducherry coast, Southeast India",Israel,j,2-s2.0-85165076456,2023-12-10T00:00:00.000Z,Journal,Article,"Ecology, Evolution, Behavior and Systematics",1105,AGRI,Regional Studies in Marine Science,21100390177,0,ar,10.1016/j.rsma.2023.103080,SCOPUS_ID:85165076456,Elsevier B.V.
202300004,"Bioaccumulation of heavy metals in commercially important marine species from Puducherry coast, Southeast India",Saudi Arabia,j,2-s2.0-85165076456,2023-12-10T00:00:00.000Z,Journal,Article,"Ecology, Evolution, Behavior and Systematics",1105,AGRI,Regional Studies in Marine Science,21100390177,0,ar,10.1016/j.rsma.2023.103080,SCOPUS_ID:85165076456,Elsevier B.V.
202300004,"Bioaccumulation of heavy metals in commercially important marine species from Puducherry coast, Southeast India",Thailand,j,2-s2.0-85165076456,2023-12-10T00:00:00.000Z,Journal,Article,"Ecology, Evolution, Behavior and Systematics",1105,AGRI,Regional Studies in Marine Science,21100390177,0,ar,10.1016/j.rsma.2023.103080,SCOPUS_ID:85165076456,Elsevier B.V.
202300004,"Bioaccumulation of heavy metals in commercially important marine species from Puducherry coast, Southeast India",United States,j,2-s2.0-85165076456,2023-12-10T00:00:00.000Z,Journal,Article,"Ecology, Evolution, Behavior and Systematics",1105,AGRI,Regional Studies in Marine Science,21100390177,0,ar,10.1016/j.rsma.2023.103080,SCOPUS_ID:85165076456,Elsevier B.V.
202300005,"A comprehensive review on Saraca asoca (Fabaceae) - Historical perspective, traditional uses, biological activities, and conservation",India,j,2-s2.0-85163980976,2023-12-05T00:00:00.000Z,Journal,Review,Pharmacology,3004,PHAR,Journal of Ethnopharmacology,23015,0,re,10.1016/j.jep.2023.116861,SCOPUS_ID:85163980976,Elsevier Ireland Ltd
202300005,"A comprehensive review on Saraca asoca (Fabaceae) - Historical perspective, traditional uses, biological activities, and conservation",Thailand,j,2-s2.0-85163980976,2023-12-05T00:00:00.000Z,Journal,Review,Pharmacology,3004,PHAR,Journal of Ethnopharmacology,23015,0,re,10.1016/j.jep.2023.116861,SCOPUS_ID:85163980976,Elsevier Ireland Ltd
202300006,Potential natural antimicrobial and antibiofilm properties of Piper betle L. against Staphylococcus pseudintermedius and methicillin-resistant strains,Thailand,j,2-s2.0-85163518601,2023-12-05T00:00:00.000Z,Journal,Article,Pharmacology,3004,PHAR,Journal of Ethnopharmacology,23015,0,ar,10.1016/j.jep.2023.116820,SCOPUS_ID:85163518601,Elsevier Ireland Ltd
202300007,Rice straw-derived smoke water promotes rice root growth under phosphorus deficiency by modulating oxidative stress and photosynthetic gene expression,Thailand,j,2-s2.0-85170343668,2023-12-01T00:00:00.000Z,Journal,Article,Multidisciplinary,1000,MULT,Scientific Reports,21100200805,0,ar,10.1038/s41598-023-41987-5,SCOPUS_ID:85170343668,Nature Research
202300008,Improving pharmaceutical analysis by incorporating green chemistry and smartphone technology: The assay for dissolution test of ethambutol tablets as an example,Spain,j,2-s2.0-85170099383,2023-12-01T00:00:00.000Z,Journal,Article,Environmental Chemistry,2304,ENVI,Sustainable Chemistry and Pharmacy,21100444313,0,ar,10.1016/j.scp.2023.101235,SCOPUS_ID:85170099383,Elsevier B.V.
202300008,Improving pharmaceutical analysis by incorporating green chemistry and smartphone technology: The assay for dissolution test of ethambutol tablets as an example,Thailand,j,2-s2.0-85170099383,2023-12-01T00:00:00.000Z,Journal,Article,Environmental Chemistry,2304,ENVI,Sustainable Chemistry and Pharmacy,21100444313,0,ar,10.1016/j.scp.2023.101235,SCOPUS_ID:85170099383,Elsevier B.V.
202300009,Targeted sequencing analysis pipeline for species identification of human pathogenic fungi using long-read nanopore sequencing,Australia,j,2-s2.0-85170059053,2023-12-01T00:00:00.000Z,Journal,Article,"Ecology, Evolution, Behavior and Systematics",1105,AGRI,IMA Fungus,21100406884,0,ar,10.1186/s43008-023-00125-6,SCOPUS_ID:85170059053,BioMed Central Ltd
