Country,Year,Subject Area,Number of Documents
Argentina,2018,BIOC,1
Argentina,2018,ENVI,1
Argentina,2018,MATE,2
Argentina,2018,MEDI,3
Argentina,2018,NEUR,1
Argentina,2018,PHYS,1
Armenia,2018,ENGI,19
Armenia,2018,PHYS,128
Australia,2018,AGRI,2
Australia,2018,ARTS,2
Australia,2018,BIOC,12
Australia,2018,BUSI,1
Australia,2018,CENG,1
Australia,2018,CHEM,8
Australia,2018,EART,6
Australia,2018,ENVI,3
Australia,2018,HEAL,3
Australia,2018,IMMU,4
Australia,2018,MATH,1
Australia,2018,MEDI,37
Australia,2018,MULT,2
Australia,2018,NEUR,21
Australia,2018,NURS,2
Australia,2018,PHAR,12
Australia,2018,PHYS,67
Australia,2018,PSYC,1
Australia,2018,SOCI,1
Austria,2018,BIOC,1
Austria,2018,CENG,2
Austria,2018,CHEM,4
Austria,2018,EART,4
Austria,2018,ENER,2
Austria,2018,ENGI,19
Austria,2018,ENVI,1
Austria,2018,MATE,1
Austria,2018,MATH,1
Austria,2018,MEDI,4
Austria,2018,MULT,1
Austria,2018,NEUR,1
Austria,2018,PHAR,1
Austria,2018,PHYS,127
Austria,2018,SOCI,4
Azerbaijan,2018,PHYS,1
Bahrain,2018,MEDI,1
Bahrain,2018,NEUR,1
Bangladesh,2018,MEDI,3
Bangladesh,2018,NEUR,1
Belarus,2018,ENGI,19
Belarus,2018,PHYS,127
Belgium,2018,AGRI,1
Belgium,2018,BIOC,5
Belgium,2018,DENT,3
Belgium,2018,EART,1
Belgium,2018,ECON,1
Belgium,2018,ENER,1
Belgium,2018,ENGI,19
Belgium,2018,HEAL,1
Belgium,2018,MEDI,16
Belgium,2018,MULT,1
Belgium,2018,NEUR,1
Belgium,2018,PHYS,131
Belgium,2018,PSYC,1
Bhutan,2018,BIOC,1
Bhutan,2018,MEDI,1
Bhutan,2018,SOCI,1
Bolivia,2018,MEDI,1
Brazil,2018,BIOC,5
Brazil,2018,CHEM,1
Brazil,2018,DENT,1
Brazil,2018,ENGI,19
Brazil,2018,ENVI,2
Brazil,2018,HEAL,1
Brazil,2018,IMMU,1
Brazil,2018,MEDI,18
Brazil,2018,NEUR,14
Brazil,2018,PHAR,7
Brazil,2018,PHYS,128
Brazil,2018,PSYC,2
Brunei Darussalam,2018,ENVI,1
Bulgaria,2018,BIOC,4
Bulgaria,2018,ENGI,19
Bulgaria,2018,MEDI,5
Bulgaria,2018,NEUR,18
Bulgaria,2018,PHAR,8
Bulgaria,2018,PHYS,127
Bulgaria,2018,PSYC,1
Cambodia,2018,ENGI,2
Cambodia,2018,ENVI,2
Cambodia,2018,MEDI,4
Canada,2018,AGRI,3
Canada,2018,BIOC,5
Canada,2018,BUSI,1
Canada,2018,CENG,3
Canada,2018,CHEM,4
Canada,2018,DENT,1
Canada,2018,ECON,1
Canada,2018,ENVI,2
Canada,2018,HEAL,1
Canada,2018,IMMU,2
Canada,2018,MATE,3
Canada,2018,MEDI,23
Canada,2018,NEUR,7
Canada,2018,PHAR,5
Canada,2018,PHYS,3
Canada,2018,PSYC,1
Chile,2018,ENVI,3
Chile,2018,MATE,1
Chile,2018,MEDI,9
Chile,2018,NEUR,1
Chile,2018,PHYS,4
Chile,2018,SOCI,1
China,2018,AGRI,3
China,2018,ARTS,1
China,2018,BIOC,3
China,2018,CENG,3
China,2018,CHEM,7
China,2018,EART,3
China,2018,ECON,1
China,2018,ENER,5
China,2018,ENGI,24
China,2018,ENVI,8
China,2018,IMMU,2
China,2018,MATE,7
China,2018,MATH,1
China,2018,MEDI,29
China,2018,MULT,2
China,2018,NEUR,1
China,2018,NURS,2
China,2018,PHAR,1
China,2018,PHYS,136
China,2018,SOCI,3
Colombia,2018,ENGI,19
Colombia,2018,MEDI,1
Colombia,2018,PHYS,127
Costa Rica,2018,BIOC,1
Costa Rica,2018,ENVI,1
Costa Rica,2018,HEAL,1
Croatia,2018,ENGI,19
Croatia,2018,HEAL,1
Croatia,2018,NEUR,1
Croatia,2018,PHYS,129
Cuba,2018,MEDI,1
Cyprus,2018,ENGI,19
Cyprus,2018,PHYS,128
Czech Republic,2018,AGRI,2
Czech Republic,2018,BIOC,1
Czech Republic,2018,ENGI,20
Czech Republic,2018,MEDI,3
Czech Republic,2018,NEUR,1
Czech Republic,2018,PHYS,127
Denmark,2018,AGRI,5
Denmark,2018,BIOC,1
Denmark,2018,ENVI,1
Denmark,2018,HEAL,1
Denmark,2018,MEDI,5
Denmark,2018,PHAR,1
Denmark,2018,PHYS,7
Denmark,2018,SOCI,1
Denmark,2018,VETE,1
Dominican Republic,2018,MEDI,1
Ecuador,2018,ENGI,19
Ecuador,2018,PHYS,127
Egypt,2018,BIOC,1
Egypt,2018,ENGI,19
Egypt,2018,IMMU,1
Egypt,2018,PHAR,1
Egypt,2018,PHYS,127
Egypt,2018,SOCI,1
Estonia,2018,ENGI,19
Estonia,2018,ENVI,1
Estonia,2018,PHYS,127
Ethiopia,2018,EART,1
Finland,2018,AGRI,2
Finland,2018,BIOC,2
Finland,2018,ENGI,20
Finland,2018,ENVI,1
Finland,2018,HEAL,1
Finland,2018,MEDI,1
Finland,2018,PHYS,127
France,2018,AGRI,4
France,2018,BIOC,5
France,2018,BUSI,1
France,2018,CENG,3
France,2018,CHEM,3
France,2018,DENT,1
France,2018,EART,1
France,2018,ENGI,22
France,2018,ENVI,3
France,2018,IMMU,1
France,2018,MATE,1
France,2018,MEDI,15
France,2018,MULT,2
France,2018,NEUR,6
France,2018,PHAR,1
France,2018,PHYS,133
France,2018,VETE,1
Georgia,2018,ENGI,19
Georgia,2018,PHYS,127
Germany,2018,AGRI,2
Germany,2018,BIOC,5
Germany,2018,CHEM,4
Germany,2018,COMP,1
Germany,2018,EART,3
Germany,2018,ENGI,20
Germany,2018,ENVI,2
Germany,2018,HEAL,2
Germany,2018,IMMU,1
Germany,2018,MATE,2
Germany,2018,MATH,1
Germany,2018,MEDI,12
Germany,2018,MULT,1
Germany,2018,NEUR,2
Germany,2018,PHYS,139
Germany,2018,PSYC,1
Germany,2018,SOCI,4
Germany,2018,VETE,1
Ghana,2018,BIOC,1
Greece,2018,BIOC,2
Greece,2018,ENGI,19
Greece,2018,MEDI,3
Greece,2018,PHYS,132
Greece,2018,SOCI,1
Greece,2018,VETE,1
Honduras,2018,MEDI,1
Hong Kong,2018,BIOC,2
Hong Kong,2018,ENVI,2
Hong Kong,2018,IMMU,1
Hong Kong,2018,MATE,2
Hong Kong,2018,MEDI,14
Hong Kong,2018,MULT,1
Hong Kong,2018,NEUR,2
Hong Kong,2018,PHYS,1
Hungary,2018,EART,1
Hungary,2018,ENGI,19
Hungary,2018,MEDI,1
Hungary,2018,PHYS,127
Hungary,2018,SOCI,1
Iceland,2018,AGRI,1
Iceland,2018,CHEM,1
Iceland,2018,PHAR,3
Iceland,2018,PSYC,1
India,2018,AGRI,1
India,2018,BIOC,2
India,2018,BUSI,1
India,2018,CHEM,5
India,2018,COMP,2
India,2018,EART,1
India,2018,ENGI,19
India,2018,ENVI,3
India,2018,MATE,1
India,2018,MEDI,16
India,2018,MULT,1
India,2018,NEUR,1
India,2018,PHYS,128
India,2018,SOCI,3
Indonesia,2018,AGRI,1
Indonesia,2018,CHEM,2
Indonesia,2018,EART,1
Indonesia,2018,ENER,1
Indonesia,2018,ENGI,2
Indonesia,2018,IMMU,1
