Country,Year,Subject Area,Number of Documents
Afghanistan,2022,MEDI,1
Afghanistan,2022,MULT,1
Albania,2022,MEDI,1
Albania,2022,MULT,1
Algeria,2022,CHEM,1
Algeria,2022,MATE,2
Algeria,2022,MEDI,3
Algeria,2022,MULT,1
Algeria,2022,PSYC,2
Argentina,2022,BIOC,1
Argentina,2022,MEDI,8
Argentina,2022,MULT,2
Argentina,2022,NEUR,1
Argentina,2022,PHYS,1
Argentina,2022,PSYC,2
Armenia,2022,BIOC,2
Armenia,2022,ENGI,9
Armenia,2022,MATE,1
Armenia,2022,MEDI,3
Armenia,2022,NEUR,1
Armenia,2022,PHYS,57
Aruba,2022,MEDI,1
Australia,2022,AGRI,7
Australia,2022,ARTS,2
Australia,2022,BIOC,15
Australia,2022,BUSI,6
Australia,2022,CENG,5
Australia,2022,CHEM,3
Australia,2022,COMP,3
Australia,2022,DECI,1
Australia,2022,DENT,1
Australia,2022,EART,6
Australia,2022,ECON,3
Australia,2022,ENER,7
Australia,2022,ENGI,8
Australia,2022,ENVI,7
Australia,2022,IMMU,4
Australia,2022,MATE,4
Australia,2022,MATH,2
Australia,2022,MEDI,77
Australia,2022,MULT,18
Australia,2022,NEUR,9
Australia,2022,PHAR,7
Australia,2022,PHYS,43
Australia,2022,PSYC,12
Australia,2022,SOCI,7
Australia,2022,VETE,2
Austria,2022,AGRI,2
Austria,2022,BIOC,3
Austria,2022,CHEM,5
Austria,2022,ENGI,8
Austria,2022,MATE,2
Austria,2022,MATH,2
Austria,2022,MEDI,5
Austria,2022,MULT,4
Austria,2022,NEUR,3
Austria,2022,PHAR,1
Austria,2022,PHYS,55
Austria,2022,PSYC,5
Austria,2022,SOCI,1
Azerbaijan,2022,MEDI,3
Azerbaijan,2022,MULT,1
Bahrain,2022,MEDI,3
Bahrain,2022,MULT,1
Bangladesh,2022,AGRI,6
Bangladesh,2022,BIOC,4
Bangladesh,2022,CENG,1
Bangladesh,2022,COMP,1
Bangladesh,2022,ENGI,1
Bangladesh,2022,ENVI,4
Bangladesh,2022,IMMU,3
Bangladesh,2022,MEDI,9
Bangladesh,2022,MULT,5
Bangladesh,2022,NEUR,1
Bangladesh,2022,PHAR,1
Bangladesh,2022,PSYC,3
Belarus,2022,BIOC,1
