filename,dc_title,affiliation_country,srctype,eid,prism_coverDate,prism_aggregationType,subtypeDescription,subject_area_name,subject_area_code,subject_area_abbrev,publicationName,source_id,citedby_count,subtype,prism_doi,dc_identifier,dc_publisher
202000000,Time-periodic quantum states of weakly interacting bosons in a harmonic trap,Belgium,j,2-s2.0-85092259283,2020-12-30T00:00:00.000Z,Journal,Article,Physics and Astronomy (all),3100,PHYS,"Physics Letters, Section A: General, Atomic and Solid State Physics",29464,6,ar,10.1016/j.physleta.2020.126930,SCOPUS_ID:85092259283,Elsevier B.V.
202000000,Time-periodic quantum states of weakly interacting bosons in a harmonic trap,Thailand,j,2-s2.0-85092259283,2020-12-30T00:00:00.000Z,Journal,Article,Physics and Astronomy (all),3100,PHYS,"Physics Letters, Section A: General, Atomic and Solid State Physics",29464,6,ar,10.1016/j.physleta.2020.126930,SCOPUS_ID:85092259283,Elsevier B.V.
202000001,Mechanochemical reactions of MnO2 and graphite nanosheets as a durable zinc ion battery cathode,China,j,2-s2.0-85090414767,2020-12-30T00:00:00.000Z,Journal,Article,Condensed Matter Physics,3104,PHYS,Applied Surface Science,28983,67,ar,10.1016/j.apsusc.2020.147630,SCOPUS_ID:85090414767,Elsevier B.V.
202000001,Mechanochemical reactions of MnO2 and graphite nanosheets as a durable zinc ion battery cathode,Thailand,j,2-s2.0-85090414767,2020-12-30T00:00:00.000Z,Journal,Article,Condensed Matter Physics,3104,PHYS,Applied Surface Science,28983,67,ar,10.1016/j.apsusc.2020.147630,SCOPUS_ID:85090414767,Elsevier B.V.
202000002,Fabrication of molybdenum doped carbon nitride nanosheets for efficiently photocatalytic water splitting,China,j,2-s2.0-85089801467,2020-12-30T00:00:00.000Z,Journal,Article,Mechanics of Materials,2211,ENGI,Journal of Alloys and Compounds,12325,11,ar,10.1016/j.jallcom.2020.156440,SCOPUS_ID:85089801467,Elsevier Ltd
202000002,Fabrication of molybdenum doped carbon nitride nanosheets for efficiently photocatalytic water splitting,Thailand,j,2-s2.0-85089801467,2020-12-30T00:00:00.000Z,Journal,Article,Mechanics of Materials,2211,ENGI,Journal of Alloys and Compounds,12325,11,ar,10.1016/j.jallcom.2020.156440,SCOPUS_ID:85089801467,Elsevier Ltd
202000003,Near-room-temperature superconductivity of Mg/Ca substituted metal hexahydride under pressure,Thailand,j,2-s2.0-85089658682,2020-12-30T00:00:00.000Z,Journal,Article,Mechanics of Materials,2211,ENGI,Journal of Alloys and Compounds,12325,33,ar,10.1016/j.jallcom.2020.156434,SCOPUS_ID:85089658682,Elsevier Ltd
202000004,Autophagy related protein 9A increase in hepatitis B virus-associated hepatocellular carcinoma and the role in apoptosis,Thailand,j,2-s2.0-85099373324,2020-12-27T00:00:00.000Z,Journal,Article,Hepatology,2721,MEDI,World Journal of Hepatology,21100243806,1,ar,10.4254/wjh.v12.i12.1367,SCOPUS_ID:85099373324,Baishideng Publishing Group Co
202000005,Deterioration of Open-cell Aluminum Foam in Strong Sulfuric Acid,Thailand,p,2-s2.0-85099249028,2020-12-22T00:00:00.000Z,Conference Proceeding,Conference Paper,Materials Science (all),2500,MATE,IOP Conference Series: Materials Science and Engineering,19700200831,0,cp,10.1088/1757-899X/965/1/012027,SCOPUS_ID:85099249028,IOP Publishing Ltd
202000006,Preface and Welcome Speech (ICEIT 2020),China,p,2-s2.0-85099228918,2020-12-22T00:00:00.000Z,Conference Proceeding,Editorial,Materials Science (all),2500,MATE,IOP Conference Series: Materials Science and Engineering,19700200831,0,ed,10.1088/1757-899X/965/1/011001,SCOPUS_ID:85099228918,IOP Publishing Ltd
202000006,Preface and Welcome Speech (ICEIT 2020),Japan,p,2-s2.0-85099228918,2020-12-22T00:00:00.000Z,Conference Proceeding,Editorial,Materials Science (all),2500,MATE,IOP Conference Series: Materials Science and Engineering,19700200831,0,ed,10.1088/1757-899X/965/1/011001,SCOPUS_ID:85099228918,IOP Publishing Ltd
202000006,Preface and Welcome Speech (ICEIT 2020),Malaysia,p,2-s2.0-85099228918,2020-12-22T00:00:00.000Z,Conference Proceeding,Editorial,Materials Science (all),2500,MATE,IOP Conference Series: Materials Science and Engineering,19700200831,0,ed,10.1088/1757-899X/965/1/011001,SCOPUS_ID:85099228918,IOP Publishing Ltd
202000006,Preface and Welcome Speech (ICEIT 2020),Thailand,p,2-s2.0-85099228918,2020-12-22T00:00:00.000Z,Conference Proceeding,Editorial,Materials Science (all),2500,MATE,IOP Conference Series: Materials Science and Engineering,19700200831,0,ed,10.1088/1757-899X/965/1/011001,SCOPUS_ID:85099228918,IOP Publishing Ltd
202000007,Kinetic study for the co-pyrolysis of water hyacinth biomass with waste polystyrene,Thailand,p,2-s2.0-85099175285,2020-12-22T00:00:00.000Z,Conference Proceeding,Conference Paper,Materials Science (all),2500,MATE,IOP Conference Series: Materials Science and Engineering,19700200831,1,cp,10.1088/1757-899X/965/1/012029,SCOPUS_ID:85099175285,IOP Publishing Ltd
202000008,Multifunctional catalyst of Cu/ZnO and molecular sieve for low temperature CO2 conversion to methanol,Thailand,p,2-s2.0-85099127391,2020-12-22T00:00:00.000Z,Conference Proceeding,Conference Paper,Materials Science (all),2500,MATE,IOP Conference Series: Materials Science and Engineering,19700200831,0,cp,10.1088/1757-899X/991/1/012070,SCOPUS_ID:85099127391,IOP Publishing Ltd
202000009,Performance and cost analysis of hydrogen production from steam reforming and dehydrogenation of ethanol,Thailand,p,2-s2.0-85099118774,2020-12-22T00:00:00.000Z,Conference Proceeding,Conference Paper,Materials Science (all),2500,MATE,IOP Conference Series: Materials Science and Engineering,19700200831,3,cp,10.1088/1757-899X/991/1/012069,SCOPUS_ID:85099118774,IOP Publishing Ltd
202000010,Biomarker-guided preemption of steroid-refractory graft-versus-host disease with a-1-antitrypsin,Germany,j,2-s2.0-85098074752,2020-12-22T00:00:00.000Z,Journal,Article,Hematology,2720,MEDI,Blood Advances,21100886825,18,ar,10.1182/bloodadvances.2020003336,SCOPUS_ID:85098074752,American Society of Hematology
202000010,Biomarker-guided preemption of steroid-refractory graft-versus-host disease with a-1-antitrypsin,Italy,j,2-s2.0-85098074752,2020-12-22T00:00:00.000Z,Journal,Article,Hematology,2720,MEDI,Blood Advances,21100886825,18,ar,10.1182/bloodadvances.2020003336,SCOPUS_ID:85098074752,American Society of Hematology
202000010,Biomarker-guided preemption of steroid-refractory graft-versus-host disease with a-1-antitrypsin,Thailand,j,2-s2.0-85098074752,2020-12-22T00:00:00.000Z,Journal,Article,Hematology,2720,MEDI,Blood Advances,21100886825,18,ar,10.1182/bloodadvances.2020003336,SCOPUS_ID:85098074752,American Society of Hematology
