Subject,Identifier,EID,Title,Publication Name,Publication Date,DOI,Cited By Count,Affiliation Country,Year
AGRI,SCOPUS_ID:85123470593,2-s2.0-85123470593,Factors affecting bacterial community dynamics and volatile metabolite profiles of Thai traditional salt fermented fish,Food Science and Technology International,2023-04-01T00:00:00.000Z,10.1177/10820132221075435,1,Thailand,2023
AGRI,SCOPUS_ID:85135493764,2-s2.0-85135493764,Non-antibiotic approaches to combat motile Aeromonas infections in aquaculture: Current state of knowledge and future perspectives,Reviews in Aquaculture,2023-01-01T00:00:00.000Z,10.1111/raq.12721,11,Malaysia,2023
AGRI,SCOPUS_ID:85135493764,2-s2.0-85135493764,Non-antibiotic approaches to combat motile Aeromonas infections in aquaculture: Current state of knowledge and future perspectives,Reviews in Aquaculture,2023-01-01T00:00:00.000Z,10.1111/raq.12721,11,Thailand,2023
AGRI,SCOPUS_ID:85135493764,2-s2.0-85135493764,Non-antibiotic approaches to combat motile Aeromonas infections in aquaculture: Current state of knowledge and future perspectives,Reviews in Aquaculture,2023-01-01T00:00:00.000Z,10.1111/raq.12721,11,Viet Nam,2023
AGRI,SCOPUS_ID:85136156121,2-s2.0-85136156121,"A decade overview and prospect of spray drying encapsulation of bioactives from fruit products: Characterization, food application and in vitro gastrointestinal digestion",Food Hydrocolloids,2023-01-01T00:00:00.000Z,10.1016/j.foodhyd.2022.108068,11,China,2023
AGRI,SCOPUS_ID:85136156121,2-s2.0-85136156121,"A decade overview and prospect of spray drying encapsulation of bioactives from fruit products: Characterization, food application and in vitro gastrointestinal digestion",Food Hydrocolloids,2023-01-01T00:00:00.000Z,10.1016/j.foodhyd.2022.108068,11,Iran,2023
AGRI,SCOPUS_ID:85136156121,2-s2.0-85136156121,"A decade overview and prospect of spray drying encapsulation of bioactives from fruit products: Characterization, food application and in vitro gastrointestinal digestion",Food Hydrocolloids,2023-01-01T00:00:00.000Z,10.1016/j.foodhyd.2022.108068,11,Malaysia,2023
AGRI,SCOPUS_ID:85136156121,2-s2.0-85136156121,"A decade overview and prospect of spray drying encapsulation of bioactives from fruit products: Characterization, food application and in vitro gastrointestinal digestion",Food Hydrocolloids,2023-01-01T00:00:00.000Z,10.1016/j.foodhyd.2022.108068,11,Spain,2023
AGRI,SCOPUS_ID:85136156121,2-s2.0-85136156121,"A decade overview and prospect of spray drying encapsulation of bioactives from fruit products: Characterization, food application and in vitro gastrointestinal digestion",Food Hydrocolloids,2023-01-01T00:00:00.000Z,10.1016/j.foodhyd.2022.108068,11,Thailand,2023
AGRI,SCOPUS_ID:85138187650,2-s2.0-85138187650,The thermal resistance and targeting release of zein-sodium alginate binary complexes as a vehicle for the oral delivery of riboflavin,Journal of Food Science and Technology,2023-01-01T00:00:00.000Z,10.1007/s13197-022-05591-1,3,China,2023
AGRI,SCOPUS_ID:85138187650,2-s2.0-85138187650,The thermal resistance and targeting release of zein-sodium alginate binary complexes as a vehicle for the oral delivery of riboflavin,Journal of Food Science and Technology,2023-01-01T00:00:00.000Z,10.1007/s13197-022-05591-1,3,India,2023
AGRI,SCOPUS_ID:85138187650,2-s2.0-85138187650,The thermal resistance and targeting release of zein-sodium alginate binary complexes as a vehicle for the oral delivery of riboflavin,Journal of Food Science and Technology,2023-01-01T00:00:00.000Z,10.1007/s13197-022-05591-1,3,Thailand,2023
AGRI,SCOPUS_ID:85139025208,2-s2.0-85139025208,"Phylogeny, character evolution, and biogeography of the fern genus Bolbitis (Dryopteridaceae)",Molecular Phylogenetics and Evolution,2023-01-01T00:00:00.000Z,10.1016/j.ympev.2022.107633,2,Brunei Darussalam,2023
AGRI,SCOPUS_ID:85139025208,2-s2.0-85139025208,"Phylogeny, character evolution, and biogeography of the fern genus Bolbitis (Dryopteridaceae)",Molecular Phylogenetics and Evolution,2023-01-01T00:00:00.000Z,10.1016/j.ympev.2022.107633,2,China,2023
AGRI,SCOPUS_ID:85139025208,2-s2.0-85139025208,"Phylogeny, character evolution, and biogeography of the fern genus Bolbitis (Dryopteridaceae)",Molecular Phylogenetics and Evolution,2023-01-01T00:00:00.000Z,10.1016/j.ympev.2022.107633,2,Germany,2023
AGRI,SCOPUS_ID:85139025208,2-s2.0-85139025208,"Phylogeny, character evolution, and biogeography of the fern genus Bolbitis (Dryopteridaceae)",Molecular Phylogenetics and Evolution,2023-01-01T00:00:00.000Z,10.1016/j.ympev.2022.107633,2,Thailand,2023
AGRI,SCOPUS_ID:85139025208,2-s2.0-85139025208,"Phylogeny, character evolution, and biogeography of the fern genus Bolbitis (Dryopteridaceae)",Molecular Phylogenetics and Evolution,2023-01-01T00:00:00.000Z,10.1016/j.ympev.2022.107633,2,United States,2023
AGRI,SCOPUS_ID:85139025208,2-s2.0-85139025208,"Phylogeny, character evolution, and biogeography of the fern genus Bolbitis (Dryopteridaceae)",Molecular Phylogenetics and Evolution,2023-01-01T00:00:00.000Z,10.1016/j.ympev.2022.107633,2,Viet Nam,2023
AGRI,SCOPUS_ID:85139433370,2-s2.0-85139433370,"Microanatomy of the digestive tract and accessory organs of the Japanese flathead (Inegocia japonica Cuvier, 1829) (Scorpaeniformes, Platycephalidae)",Acta Zoologica,2023-10-01T00:00:00.000Z,10.1111/azo.12441,0,Thailand,2023
AGRI,SCOPUS_ID:85140489961,2-s2.0-85140489961,Temporal dynamics of ectomycorrhizal fungal communities in Shorea siamensis forest fragments,Fungal Ecology,2023-02-01T00:00:00.000Z,10.1016/j.funeco.2022.101208,2,Thailand,2023
