Country,Year,Subject Area,Number of Documents
Algeria,2019,CHEM,1
Algeria,2019,MEDI,1
Argentina,2019,AGRI,1
Argentina,2019,CENG,1
Argentina,2019,MEDI,2
Argentina,2019,PHYS,1
Armenia,2019,ENGI,21
Armenia,2019,MEDI,4
Armenia,2019,PHYS,95
Australia,2019,AGRI,3
Australia,2019,BIOC,10
Australia,2019,BUSI,2
Australia,2019,CHEM,6
Australia,2019,COMP,1
Australia,2019,DENT,1
Australia,2019,EART,1
Australia,2019,ECON,2
Australia,2019,ENER,4
Australia,2019,ENGI,3
Australia,2019,ENVI,3
Australia,2019,HEAL,1
Australia,2019,IMMU,6
Australia,2019,MATE,3
Australia,2019,MEDI,55
Australia,2019,MULT,2
Australia,2019,NEUR,16
Australia,2019,NURS,2
Australia,2019,PHAR,4
Australia,2019,PHYS,57
Australia,2019,PSYC,3
Australia,2019,SOCI,6
Australia,2019,VETE,1
Austria,2019,AGRI,2
Austria,2019,BIOC,1
Austria,2019,CHEM,3
Austria,2019,EART,1
Austria,2019,ENGI,21
Austria,2019,ENVI,1
Austria,2019,MATE,1
Austria,2019,MEDI,4
Austria,2019,MULT,2
Austria,2019,PHAR,2
Austria,2019,PHYS,95
Azerbaijan,2019,PHYS,1
Bahrain,2019,BUSI,1
Bahrain,2019,MEDI,1
Bangladesh,2019,ENVI,2
Bangladesh,2019,IMMU,1
Bangladesh,2019,MEDI,7
Bangladesh,2019,NEUR,1
Bangladesh,2019,PSYC,1
Belarus,2019,ENGI,21
Belarus,2019,PHYS,95
Belgium,2019,AGRI,2
Belgium,2019,BIOC,2
Belgium,2019,CENG,2
Belgium,2019,CHEM,1
Belgium,2019,ENGI,21
Belgium,2019,ENVI,1
Belgium,2019,IMMU,1
Belgium,2019,MEDI,16
Belgium,2019,MULT,4
Belgium,2019,PHYS,101
Belgium,2019,PSYC,1
Bhutan,2019,SOCI,1
Brazil,2019,AGRI,3
Brazil,2019,BIOC,4
Brazil,2019,CHEM,2
