Subject,Identifier,EID,Title,Publication Name,Publication Date,DOI,Cited By Count,Affiliation Country,Year
AGRI,SCOPUS_ID:85109130154,2-s2.0-85109130154,Effects of genipin as natural crosslinker on barrier and mechanical properties of chitosan-astaxanthin film,Journal of Food Processing and Preservation,2022-08-01T00:00:00.000Z,10.1111/jfpp.15707,7,South Korea,2022
AGRI,SCOPUS_ID:85109130154,2-s2.0-85109130154,Effects of genipin as natural crosslinker on barrier and mechanical properties of chitosan-astaxanthin film,Journal of Food Processing and Preservation,2022-08-01T00:00:00.000Z,10.1111/jfpp.15707,7,Thailand,2022
AGRI,SCOPUS_ID:85110546051,2-s2.0-85110546051,Sustainable solutions to arsenic accumulation in rice grown in south and south-east Asia,Crop and Pasture Science,2022-01-01T00:00:00.000Z,10.1071/CP21033,10,Cambodia,2022
AGRI,SCOPUS_ID:85110546051,2-s2.0-85110546051,Sustainable solutions to arsenic accumulation in rice grown in south and south-east Asia,Crop and Pasture Science,2022-01-01T00:00:00.000Z,10.1071/CP21033,10,India,2022
AGRI,SCOPUS_ID:85110546051,2-s2.0-85110546051,Sustainable solutions to arsenic accumulation in rice grown in south and south-east Asia,Crop and Pasture Science,2022-01-01T00:00:00.000Z,10.1071/CP21033,10,Thailand,2022
AGRI,SCOPUS_ID:85114049322,2-s2.0-85114049322,A multi-epitope chimeric protein elicited a strong antibody response and partial protection against Edwardsiella ictaluri in Nile tilapia,Journal of Fish Diseases,2022-01-01T00:00:00.000Z,10.1111/jfd.13525,8,Thailand,2022
AGRI,SCOPUS_ID:85114387181,2-s2.0-85114387181,Fungal Spore Richness in School Classrooms is Related to Surrounding Forest in a Season-Dependent Manner,Microbial Ecology,2022-08-01T00:00:00.000Z,10.1007/s00248-021-01844-2,0,Taiwan,2022
AGRI,SCOPUS_ID:85114387181,2-s2.0-85114387181,Fungal Spore Richness in School Classrooms is Related to Surrounding Forest in a Season-Dependent Manner,Microbial Ecology,2022-08-01T00:00:00.000Z,10.1007/s00248-021-01844-2,0,Thailand,2022
AGRI,SCOPUS_ID:85115429556,2-s2.0-85115429556,Organic phosphorus forms in a tropical sandy soil after application of organic residues of different quality,Geoderma,2022-01-01T00:00:00.000Z,10.1016/j.geoderma.2021.115462,3,Thailand,2022
AGRI,SCOPUS_ID:85115798450,2-s2.0-85115798450,Tilapia Lake Virus was not detected in non-tilapine species within tilapia polyculture systems of Bangladesh,Journal of Fish Diseases,2022-01-01T00:00:00.000Z,10.1111/jfd.13537,4,Malaysia,2022
